dcterms:title,dcterms:abstract,nlon:keyword,length
平和會議와도루스도이 伯,⊙(平和會議와 도루스도이 伯)도루스도이 伯의 風彩奇異은 俄國에셔 人人이 皆知 라 伯이 武斷壓制 俄國에 在야 自由와 平和主義를 至極히 主張 特히 伯의 最長바 堂堂 貴族으로 或 士官도 되며 或農夫도 되야 其主張 言은 率先實行기를 辭치 아니니 彼 武斷壓制에 對야 宛宛 一敵國이라 是以로 俄帝 萬國平和會議의 議를 發表 後 구리미야 地方巡行할 際에 特히 駕들 枉야 伯의 意見을 問니 此時에 伯이 正面야 曰 陛下蒼生을 爲야 戰爭의 慘禍를 除코져 할진 先自兵備를 撤치 아니면 不可니 不然한즉 列國會議를 開더라도 其効가 無리라 얏더니 俄國이 旣已弛兵의 議를 提出고도 尙且國境의 兵備를 嚴히함으로 比隣이 不平히 넉이지라 有志書를 寄야 伯의 意見을 問함 伯이 其說을 備盡야 返答얏 後에 其結尾한 文詞를 改訂야 各國의 語로 翻譯야 歐美에 廣布얏 其大意에 曰 今回 平和會議 眞正한 平和를 目的 者에 不有고 도로혀 平和에 達할 唯一方法을 妨 僞善的集會니라 (未完),정치; 기사,521
京釜鐵道의 議决,⊙（京釜鐵道의 議决）日本의 京釜鐵道發起人들이 總會를 開고 如左히 議决얏스니（一）創立委員은 左의 十三名을 選擧고 其餘三名은 後日選擧 事「澁澤榮一、中野武營、大三輪長兵衛、井上角五郞、竹內綱、尾崎三良、左左友房、大食喜八郞、大江卓」（一）創立事務所를 設고 書記若干名을 置은 委員에게 一任 事（一）追加發起人을 募集 事（一）發起人外에 更히 贊助員을 勸誘 事、但贊助員은 金二十圓을 支出야 京釜鐵道會社設立後 相當 股主의 權이 有기로 事（一）創立測量에 着手기 爲야 創立委員에게 左의 件을 委任 事（一）實地測量에 着手기 爲야 創立委員一名及技師를 派遣 事、但技師 松本鐵道作業局長과 相議 後取定 事（二）實地測量에 必要 費用은 創立委員이 臨機借用야 支出 事、但右借入金은 會社設立 後股金又社債로써 該借入金의 利子를 償還되 若不幸야 會社設立에 至치못 境遇에 决斷코 借金利子償還의 義務를 發起人에게 負擔케아니할 事三）委員派遣에 就야 創立委員會으 决議로써 韓廷과 交涉할 件、韓國人民에게 股衿分排할 件、線路及停車塲豫定할 件、韓地에 事務所를 設置힐 件等은 派遣委員에게 一任할 事,사회; 기사,557
日本法學博士戶水寬人氏가 太陽雜誌에 對韓策의 進步라 題하고 論述한 槪要가 如左하니,外報 照謄●日本法學博士 戶永寬人氏가 太陽雜誌에 對韓策의 進步라 題하고 論述한 槪要가 如左하니日淸戰爭을 因하야 支那가 몬져 勢力을 失하고 日俄戰爭을 因하야 俄國이 亦勢力을 失하난 淸俄兩國은 勢力을 失하고 日本의 勢力은 隆隆히 衝天 것이 是亦時勢의 使然哉니 假令 今後에 稍히 無能한 人物노 하야곰 外交를 任케 이 有하더라도 尙且韓國을 制이 別노 困難치 아니하다 하고 又曰 往時를 回顧하면 我國幾多人士가 韓國으로 由하야 苦心慘憺하며 悲憤慷慨하야 徒히 天下에 貽笑됨이 有하나 今番에 日俄戰爭으로 由하야 韓國이 스로 我日本의 掌中에 歸하랴 하니 엇지 愉快치 아니하리오 하고 又曰 昨年八月二十二日에 日韓協約이 世에 公布됨 歐美學者中에 或 曰 韓國이 事實上에 日本의 被保護國이 되얏다 하나 然하나 其時 余◈此事件에 多小의 疑가 能히 無치 못하얏스니 何者오 協約의 趣意난 이믜 文字上에 現하얏스나 日本政府가 斷然히 韓國으로써 被保護國을 成하난 行動을 示치 아니하면 韓國을 아즉 被保護國이라 稱 것이 아닌◈로 昨年十月 國際法雜誌에 朝鮮의 處分이라 題 論文에 論하야 曰 本年八月二十二日의 協約은 事實上에 韓國으로써 被保護國을 成하난 形跡이 非無하나 然하나 其形跡이 尙今 微弱의 歎이 非無한 則 차라리 此協約이 韓國으로써 被保護國을 成하난 準備라고 解釋난 것이 適當다 얏더니 其後新聞에 報 바를 據 小村外相이 明言야 曰 韓國의 軍事와 外交와 財政의 三者가 이믜 日本의 掌中에 歸얏난 此事를 日本이 이믜 列國에 通牃얏스나 列國에셔 髮毫도 異議를 不唱한다 얏스니 果然면 韓國의 軍事와 外交와 財政 三者의 全權이 이믜 日本에 歸한 後단 韓國이 今日에 在야난 事實上에 日本의 被保護國이라 稱야도 亦可니 此實對韓策이 進步이라 고 又曰 韓國에 顧問官을 置은 英國이 埃及에 對한 政策을 傚倣이라 韓國의 事情이 埃及과 近似치 아니고 緬甸과 近似거 我政府가 緬甸의 例를 傚倣치 아니고 埃及의 例를 傚倣니 若干 論議할 者가 有다 고 又曰 顧問官의 制도 利用의 如何를 因야 我國權伸張의 具를 成게 될 것은 不待贅論인 曩日 我政府一部의 人士가 長森案을 遂行기에 熱心함이 反히 滑稽와 如다 謂할지라 然나 顧問官의 制난 元來 此에 比할 것이 아니니 萬若 此로써 他日에 緬甸의 例를 傚倣난 階梯를 成게되면 姑且 顧問官을 置더라도 日本에 別노 不利치 아니라 고 又曰 埃及에셔 구리쓰흘도로이도가 內政을 干與얏다가 맛참 成事치 못 例가 非無나 然나 我國이 畢竟 韓國內政을 不可不 干與할 것이오 此를 干與기 爲야 內亂이 生면 刀劒과 銃砲로씨 臨할 이라 얏더라,기사; 정치,1288
虎列刺預防規則,●虎列刺預防規則 (續)五 患者의 上 便所에 糞便에 小할지라도 糞便을 量야 十分一石灰乳와 五十分一生石灰와 若五分一石炭酸水를 灌야 攪拌할지니 爾後患者가 便所에 上거든 每每히 前記에 消毒藥을 灌할 事六 患者의 用든 衣服과 臥具와 敷物과 飮食器와 其他 看病人에 衣服 等物과 又患者의 吐瀉物에 汚染 疑가 有 物은 取纏야 適當 容器에 入寘야 消毒法을 行할 事七 患者의 身軆와 吐瀉物과 及他汚染 物에 蚊蠅 等을 集지안케 注意할지오 患者의 居室에 蚊帳 等 屬을 張얏거든 其器物에 吐瀉物이 汚染치 안케 注意 事八 看病人은 其衣服을 患者의 吐瀉物에 觸지안케 注意할지오 且其吐瀉物과 及其汚染物品을 親手로 取扱얏거든 直히 石炭酸水와 又昇汞水에 手를 洗고 更히 淨水에 洗할 事九 患者의 居室에 入야 飮食物을 患者外에 決斷코 飮食치 勿할 事十 患者와 同居 者 特히 飮食物에 注意되 飮料水을 煑沸 必用할 事第二條 虎列刺發生 時 病家近傍의 各家에셔 共同야 左의 預防法을 守할지니 但 衞生組合을 設 地方에 衞生組合長이 其預防法을 各家에 告知할 事一 患者가 有 家 切勿交通할 事二 病家의 井水를 他家에셔 共用치 勿호 不得已 境遇에 煑沸 後에 用할 事三 芥溜 掃除야 病家로셔 流下 水의 溢流滲潤을 防고 下水溝의 破損 者를 速히 修改할 事四 飮食物은 熟煑를 必用할 事五 凡下利가 發 者 速히 醫師의 治療를 受고 其患者의 上 便所에 石灰乳와 生石灰와 若石炭酸水를 灌할 事第三條 虎列刺流行할 際에 下利와 若吐瀉 者有 時에 其瀉下物과 吐出物에 石灰乳와 生石灰와 若石炭酸水 灌고 醫師의 診斷을 乞할 事第四條 虎列刺發生할 初에 其蔓延을 防할 만 境遇에 左標에 依야 交通遮斷을 施行할 事一 該病者가 有 家가 一軒立에 係 時 一家를 遮斷고 一家內라도 別棟을 判然區別할 만 時 其部分만 遮斷고 極히 病家에 接近 家屋이 不潔狹矮야 病毒이 傳播 虞가 有 時 其狀況에 依야 隣家를 遮斷 事 (未完),정치; 기사,988
全州財務官報告槪要,●全州財務官報告槪要  〔前号續〕  第一  全州에 倉庫를 設置 時에 地方商民에 及 影響全羅北道 所產貨物의 價格과 商業去來의 程道와 人民의 富饒과 人口의 稠密이 外國居留地及其二三處市街外에 韓國第一等에 居하 地方이로 于今金融機關及此에 近似 者가 群山第一銀行出張所와 郵便局二箇所韓國中到處에 存在 典當局인 第一銀行은 資金이 豐富하 一定 銀行定則이 有아니라 貸金에 制限이 有으로 韓國民에 對하야 其需用에 應야 資金을 融通키 不能하고 又郵便局二箇所가 有나 韓人中에 其効方을 不知아니라 于今官廳의 壓制를 被야 屢屢히 資金을 沒収된 事가 有 故로 官廳或官吏에 對야 自己의 財產을 隱匿 故로 全州郵便所 開始以來로 一年間에 至하되 韓國人中一人도 財貨을 任置 者가 無아니라 郵便換錢도 實노 稀有고 又典當局은 金融機關으로 到處에 存在나 典當局에 出入 者 商民及普通人民을 勿論고 総히 下等人이오 典當을 爲業 者의 資金은 亦五百元以內인 故로 其貸借가 一次의 百元에 不過고 特히 其邊利가 重야 最輕 者 六分이오 最重 者 每月百分의 四에 至이 有야 畢竟金融機關의 目的을 達키 不能지라 故로 昨今政府에셔 地方의 金融을 整理며 農業商業의 發達을 圖기 爲야 輕邊으로 資金을 貸與고 其貸與方法도 亦簡便迅速을 爲主야 地方經濟를 奬勵發達케 趣旨로 全州에도 倉庫 設置얏더니 此說이 傳播이 或은 各郡守가 徵收 稅金을 資金으로 融通기 爲야 其運動에 奔走던 者가 此說을 聞고 其方針을 變야 倉庫에 來야 資金貸與事로 商議 者도 有고 或은 居間人이 外上으로 貨物에 重邊을 加야 購入던 者가 倉庫에셔 資金을 貸與면 即錢으로 去來을 計畫 者도 有고 或은 于今지 米糓其他貨物을 購入야 群山或仁川에 前往販賣고 其代金으로 更히 本處에 來야 貨物購入에 着手던 者가 倉庫에셔 貨物保管証으로 資金을 貸與을 聞고 如此히 計畫 者도 有고 或은 全州倉庫의 資金을 利用히야 葉烟草을 貿야 暴利을 得랴 者도 有고 或은 在群山日本人이 私設倉庫를 設置고 日韓人의 貨物을 保管야 其保証으로 資金融通에 便케을 計畫 者도 有고 或은 全州市에 韓人四名이 組合을 設고 全州倉庫의 資金을 借入야 米糓其他貨物購入을 經營 者도 有 此組合은 曩者에 成立되야 目下南原任實地方에 派人貿糓中이라    〔未完〕,사회; 기사,1172
北京政府와 維新黨,⊙（北京政府와 維新黨）上海特報를 據즉 五翰林을 永遠히 監禁과 康梁一派를 迫害과 漢報國聞報滬報淸議報의 頒布를 妨害하고 更히 新嘉坡의 天南新報社主邱菽園의 家族이 淸國에 在 者를 苦케하고 其他幾多方法으로써 維新黨을 窮逐이 盛하고 張之洞李鴻章이 亦此에 呼應하며 且北京政府의 現時方策은 皇帝를 左袒하 者를 壓抑하야써 其計畫을 成就코져하야 攘夷思想을 有 者를 助하야 義和團大刀會等으로하야곰 其暴擧를 助長하 態度를 持하며 革新思想이 有 人士로써 全然히 康梁의 徒라하니 此等中에 漸進主義를 持 人物도 有야 公道를 重히고 暴行을 戒고다만 時機가 來치아님을 嘆야갓 滬上에 客寓 者ㅣ不少며 康梁二人이 英美에 在다야 在外各欽差에게 打電되 彼等을 隱密히 捕拿라고 命을 發고 今又香港에셔 國事犯者廣某 李鴻章이 捕拿야 此 廣東에 監禁으로 英國의 香港總督及廣東의 英國領事가 李氏 對야 談判을 始니 此捕拿에 就야 有功勞者 劉學詢이라고 云며 且淸廷은 近來外國敎實의 招聘契約滿期後의 解雇를 决하고 總理衙門을 廢하고 理藩院（卽淸國의 風地를 統治하 殖民政廳）으로하야곰 管理케하야써 外國을 朝貢의 外藩과 同一히 視하랴하니 此等守舊의 極 奇恠事實은참 驚할민하더라더라,정치; 기사,609
大東學會趣旨書,●大東學會趣旨書何以爲人曰學何以爲學曰道道也者所以修身濟世之具人不可須臾離者也往哲先軰無不務學講道立事功而澤民國淑人心而隆世道所謂士爲國之元氣者也自世級日降爲士者不復學其或學焉者初不請道而惟功令尋摘之是尙名爲奉儒敎而其實則蔑如也今功令雖廢而學蕪道晦則尤甚於前其獘大槪有三綺紈簪纓之家則猶承籍先蔭以仕宦爲倘來束書不讀眼不識丁身無檢而家無敎處則惰嬉出則敗僨況値世界開明之日社會競進之際而獨萎靡頹墮絶無振奮之想此學之全不講者也間有老成謹飭之人林樊藏修之士雖玩心墳典篤信聖賢然空談性命而昧世法專事口耳而小實觧膠瑟守株不知時務之變遺世絶物甘作閉門之踪並與五洲歷史萬國新聞而亦不屑寓目妄懷排外之想遂失吾道中庸之眞面目此學之軆偏而用缺者也又有新進輕銳之軰航海遊覽之人苟慕列强之隆盛目眩心醉不揣本而趨其末襲皮毛學顰步自謂開化而笑昔人之無聞知遺親後君蔑禮喪耻不識倫綱道義之爲何物此學之軆闕而用亂者也如是之故俗頹而民散淪胥而莫救世之人遂以儒道爲腐敗無用之敎而紳士之類永爲天地之一棄物嗚呼此豈儒道之罪而人性之獨不善哉良由儒敎之未曾講故也雖然獘當更張事在勉强尋墜緖而廻狂瀾惟在用力之如何此吾大東學會之所由設也凡我卿大夫士中外縫掖之人合倂老小斟酌新舊老者溫舊學而發新知少者設專校而業課程巖阿儒門中年章甫之倫另聚一所究經傳之大義以倡斯道閱外國之書籍以觧執滯務要立軆達用守孔孟之宗旨明事物之時宜使正德利用厚生三者並行不廢則庶幾儒敎復明吾人免爲棄物而全國同胞二千萬人族共躋文明可以並駕於五洲世界矣玆以書佈惟我同志諸君子咸軆此意齊會贊務亟圖實施是所盼祝焉 發起人 申箕善 閔丙奭,기사; 사회,672
叙任及辭令,官      報○叙任及辭令  ○隆熙三年十二月二十一日公立普通學校本科副訓導金濟國  任公立普通學校本科訓導叙判任官三等○隆熙三年十二月二十四日水谷潔  任煉瓦製造所主事叙判▣官四等○隆熙三年十一月二十七日長谷川芳次郞  任建築所主事叙判任官四等△色部運太郞  任建築所主事叙判任官五等△原田悅二  成松綠早水旭  任建築所技手叙判任官三等△李善鎬  任臨時財源調査局技手叙叙任官三等△森精造  北尾松太郞伊達重吉  田口安慮  任建築所技手叙判任官四等△靑山豊太郞  梶浦▣雄  松本松壽  長原仁太郞  伊賀淸四郞  福井常次郞  小林常治  今井寅吉  西村治郞吉  齋藤新右衛門五味勇之助  鈴木彌三郞  任建築所技手叙判任官五等△金汶植  張文遠李禎煥  任臨時財源調杳局主事叙判任官四等△臨時財源調杳局主▣張文遠同李正煥  兼任財務署主事△稅關主事伊藤喜九馬  兼任關稅局主事△時純俊  任臨時財源調杳局技手叙判任官五等○隆熙三年十二月三十一日度支部主事佐藤梧一  兼任醫部○一月八日藤井務  任道主事叙判任官一等主殿院主事鄭寅建  右 該員이 職務上에 怠慢이 有기로 一個月減俸에 處홈  一月十二日宮內府）△道主事巽正良  依願免本官（隆熙三年十一月二日內部）△警部佐藤梧一    命開城警察署勤務（隆熙三年十二月三十一日內部）  △道主事藤井務  任江原道觀察道在勤（以上一月八日內部）△財務署財務官姜星熙  命水原財務署在勤（隆熙三年十二月二十五日度支部）△建築所技手荒田武彥  依願免本官△度支部秘書官朴容九  命文官普通銓衡委員（一月四日度支部）△農商工部主事伊藤祐之  依願免本官（隆熙三年十二月三十一日農商工部）,기사; 정치,725
開會延期의 理由,●開會延期의 理由日本에셔 開會 臨時會議가 無限히 延期되얏 其理由를 聞 則 臨時議會를 開會하 目的은 專히 媾和談辦의 顚末을 報告에 在 方今 歸國 小村全權委員의 隨員 山座圓次郞及니손 兩氏가 媾和條約文을 携으로 來月二三日頃에 歸國을 俟하야 此條約文을 日皇 奉呈하야 一次樞密院에 諮詢 後에 無事히 批准되면 日本에셔 駐日法公使를 經야 交換節次를 畢하고 俄國에셔 駐俄美國大使를 經하야 交換節次를 畢하리니 如此하면 來月十日頃에야 交換節次를 畢 터이오 其後에 媾和條約이 成立된 事를 淸國政府에 通牒하야 同條約中 重要 事項된 滿洲問題를 日淸兩國間에 協定하여야 於是에 媾和條約이 完成될 터이로 今日境遇에 媾和談辦의 當事者 小村男爵이 美國에 因病滯留하야 其回還期가 確定되지 못  아니라 日俄媾和條約이 設或批准되더라도 淸國과 交涉 事件이 未了하면 媾和條約中 重要 條項이 完成하얏다 謂치 못지어 現今 淸國과 交涉을 開始 日子와 又其交涉이 何如히 進行될 것을 遽然히 判斷키 不能 則 此等事로 由하야 急히 臨時會議를 開會키 不能하다더라,정치; 기사,539
紳士發論,雜  報⊙紳士發論  去月에 感慕碑竪立事로 發文 說은 已報얏거니와 其通文은 如左니 右敬通事伏以澤遠則易寢誠久則易息其必播諸頌而有所寓然後可以愈遠愈久而感慕之愈不忘矣惟我明成皇后以  聖配  聖助成至治丕承我  祖宗克御我邦家實肇我中興基本而期與萬億臣子共享無疆之休矣嗚呼乙未之變尙忍言哉凡爲我大韓臣子者孰不臥薪寢苦志切復雪而星霜十載忠臣之憤未泄志士之淚不乾况以我  東宮殿下純至之  睿孝其爲彌天極地之痛何甞晷刻有弛而瞻慕  洪陵曷任如新之恨也維今値千一之會膺五百之期邦命維新儀度畢擧而惟我  母后之徽音永秘宿寃未湔春秋之義無地可講羹墻之誠何處可寓今欲建一閣竪貞珉而表鐫之庶  坤化涵育之澤愈遠而無寢黎元痛冤之忱有觸而永感匪敢曰少慰於在天之  靈差足以自旌我追慕之衷伏惟我大韓臣子之僉君子想必有同義而無異辭謹此瀝血輪告願與之齊心敦事之地幸甚光武六年九月日發文前叅奉鄭薰謨前警務官金弘濟前司果沈相禧前委員尹墉前敎員李憲前主事韓承履前主事鄭寅寛幼學曹淇煥等近日에 又頌德碑竪立事로 發文 說은 已報얏거니와 其通文은 如左니 右敬通事伏惟我大皇帝陛下以上聖之姿撫中興之運臨御四十年巍勳聖德盈溢寰宇東宮殿下保佑聰明以致太平之治石鼓之頌紀念之碑盖出於我大韓臣民之感仰而國家典禮無不具備矣惟我皇貴妃殿下令儀令德久侍椒掖而粤自移御俄舘之時不避危險恒侍  聖躳保護  東宮使我宗廟▣稷以就萬億年無疆之休况且隆冬雪寒特垂惻隱之情至於丐乞無告之氓手製襦袴衣之服之曁干囹圄械囚之徒親給褥衿無寒無凍徽德仁澤豈不偉且大哉有功必紀有德必頌自古常例不勝感德之情欲建閣竪貞珉而表鐫焉伏惟我大韓臣民之僉君子想必有同義而無異辭矣謹此齎誠輪告願與之齊心敦事之地幸甚光武六年十月日發文前郡守鄭寅琥幼學李完基前都▣安澤▣幼學洪在禹進士鄭寅禧前府使申喆▣前主事鄭斗榮幼學姜振馨進士柳瑢朴宗河幼學朱鍾國韓兢洙姜寅永金殷植崔琬前叅奉鄭斗龍幼學鄭寅琇鄭寅春前叅奉鄭圭南前主事金仁淳前侍御柳麟根幼學閔建鎬等,기사; 사회,838
