dcterms:title,dcterms:abstract,nlon:keyword,length
林會說明,●林會說明  去水曜日에 大韓山林協會副総裁李夏榮氏가 各新聞及月報社의 代表者를 請邀야 同日下午六點鍾에 惠泉湯에 會集야 該會規則을 公佈고 荼果를 盛設야 接待 後에 李氏가 該會趣旨를 公佈야 曰本人이 近者에 發起 山林會의 趣旨를 公佈코셔야 各新聞社의 雜誌社의 代表者 仰邀온바 今夕에 諸君의 光臨심을 爲야 大段히 感謝오며 該會設立에 對야 一言를 敢陳코져이다 大抵植林의 必要은 諸君이 諒悉시라 呶呶히 說明것이 無 本人의 所聞所見을 擧야 數三要項을 言소 本人이 曾往에 使節를 奉야 美洲와 日本에 往來 時에 其國境에 入면몬져 注目것은 國內處處에 山林이 茂盛야 一은 材木을 利用고 二 兩澤이 均降케며 三은 水患을 預防며 四 空氣 淸爽케니 人民의 當源과 衛生을 發達 對야 植林이 最急先務라 謂소 故로 西諺에 養木은 即養民이라것이 過言이아니다것이오 然나 我國은 植木기를 務치아니고 但有限 樹木이 無限 斫伐를 受으로 山野가 處處童濯것을 爲야 居常慨歎을 不勝더니 近日에 風潮의 一變을 因이 植林이 尤極時急줄을 覺悟고 此會를 設立야 國民의 福利를 計圖코져이니 今夕에 叅席신 諸君은 此會의 發展을 一心贊成시믈 厚望나이다얏 來賓中沈宜性氏가 代表로 答辭를 陳述고 韓日兩國紳士가 次第演說로 山林事業이 實業界에 急務됨과 該會目的이 十分完美을 贊揚얏더라,사회; 기사,695
JAPAN’S POLICY IN KOREA,"A recent interpellation by Mr. Otake in the Japanese Diet concerning Corea, has drawn from the Government a written reply which is translated as follows by the Japan Times:-1. “The Imperial Government aims in its policy of protection of Corea at sincerely carrying out all the conventions that establish the existing relations of Japan and Corea.. Of these conventions the most important are the Japanese-Corean Protcol signed on February 23, 37th year of Meiji, the Japanese- Corean Agreement signed on November 17, 38th year of Meiji, and the Japanese-Corean Agreement signed on July 24, 40th year of Meiji. The Resident-General proposes to accomplish the work of protection on the basis of these conventions and in accordance with the Corean policy of the Imperial Government.”We note that the Imperial Government states that it is sincerely carrying out the above conventions. If it is honestly of the opinion that such is the case, then we can only say that the Occidental mind sees differently to the Oriental. To the unbiassed Occidental, the Conventions seem to have been broken many times. That is to say, that while the clauses favourable to the Japanese have been adhered to in rigid severity, those favourable to the Koreans have in most cases been discreetly ignored. There is one convention which states that Japan will uphold the dignity and welfare of the Korean Imperial House. Perhaps Japan will maintain that she has done so ; but to us, the remembrance of her treatment of His Majesty the Retired Emperor, her seizure of his private purse and estates and her reducing the present reigning Emperor to the position of an automaton, hardly seem consistent with her promises.2. “The Imperial Government does not acknowledge that the local administration of Corea lacks uniformity. As a consequence of the recent reform of the tax collection system and judicial system, by which the judicial power and the power of tax collection are taken out of the hands of local executives and placed in charge of separate officers for the purposes, extortion, sale of offices, delay in the payment of public money and other evils of long standing in connection with local administration have been eradicated”As to the above paragraph, the reply of the Imperial Government is absurd. That there has been a reform of the Judiciary system is true; and that it is better now than it was is also true; but to state that the sale of offices, delay in the payment of public money and other evils of long standing have been eradicated, is ridiculous. These things are still being carried on and are very little better than under the old regime.3. “The Imperial Government views all the laws and ordinances issued by the Corean Government as being suitable to the existing conditions of Corea and necessary for the purpose of the Government of Corea.”4. “That the official discipline of the Japanese officials in Corea is lax is not a fact. There may be a few cases of misconduct among the large number of officials, but such cases the Government has severely dealt with, and showed no partiality.”We quite agree with the Imperial Government in its views expressed in paragraph 3. The Imperial Government made the laws and ordinances for its own benefit and it can hardly be expected to disclaim them. The Korean, however, thinks differently and so do a great number of foreigners. As to the official discipline of the Japanese officials in Corea not being lax, it all depends upon the interpretation of the word lax. If it means that they are not guilty of not working the number of hours laid down for them, it may be granted. But if it means that they are carrying out their duties in an honourable, impartial and friendly spirit to the Koreans, then we are reluctantly compelled to say that it is not so. Japan is here for herself and she knows it. The welfare of the Korean is the last thing in her mind.5. “The Residency-Government has not uselessly restricted the freedom of speech. Except in cases of bringing under proper restraint the newspapers and periodicals that by their arguments injure Japanese-Corean amity and tend to disturb the peace of the Corean Empire, the Government has not in any case brought pressure upon journalists or correspondents nor has it in any manner restrained speech with the object of concealing the true state of Corean affairs.”The above is the crowning point of all. “The Residency Government has not uselessly restricted the Freedom of Speech,’ says the reply. Freedom of Speech! It does not exist in Korea, unless one is content to praise fulsomely the Korean Government and the Residency General, and then one can go out into the highways and harangue a crowd; but if one ventures to criticise, then something happens that is not pleasant to the offender ; whilst as to the statement that the Government has not in any manner restrained speech with the object of concealing the true state of Korean affairs, the editor of the “Dai Han Mai Il Shinpo” sadly points out to us the fact that when he publishes in his paper something that is not to the credit of the authorities, he is promptly confiscated. Perhaps, however, this ts not restraining speech but is merely a polite suggestion that one had better not tell the truth; at least, not always",정치; 기사,5286
商獘問題演說,●商獘問題演說向日 獨立舘에셔 一進會演說時에 宋秉竣氏의 演說이 如左니 本人은 商獘規正問題에 對야 槪略說明오 欲說其理由면 必從標柱니 標柱者 何오 乃政府大臣也라 每於演說場에 詆斥官人니 亦所惶悚이나 齎鬱民情이 不獲已呼怨이라 以閔參政出處로 言之면 今日이 何日고 若不出則已어니와 出則 竭盡心力이어 乍進旋退야 視政府를 殆若逆旅者然니 可歎可悶이라 旣退 參政은 不須煩言고 現聞 沈相薰氏가 新膺參政之任云니 此果不要名譽고 鞠躬盡瘁야 以國事로 爲己責지 亦如前人之抱空質釣虛名지 本人이 姑未敢質言이오 其實心膺命야 以濟民國大事시기만 顒望不已나이다 右項兩氏와 內大 李道宰氏의 大得名譽가 初非別般事業之成就오 惟是處於滿朝賊窟야 稍示廉隅於民人故也라 本會刱立初에 沈氏가 在於揆席야 本會에셔 以官民合心經濟國事之意로 勸告則 答以好好며 又能知外國民會資格으로 快諾矣러니 及其提議國事也에 只以推托遷延으로 爲一能事고 圖遞倖免으로 爲上策얏스니 奚暇에 民瘼을 革袪며 商獘를 規正야 生命財産의 保護 實施가 有소 現今 人民이 水火中困難이 莫甚이라 都城內生民은 猶能保其性命오나 自四門外로 至于遐鄕야 所居人民을 政府가 視若他邦人야 全不顧念니 鄕谷同胞 盡劉乃已라 際此沈參政이 又爲出席에 窃恐復如前日일가 야 有此忠告이오 實非嫌怨而攻擊的演說이외다 [未完],사회; 기사,649
李在明公判의 辯論,●李在明公判의 辯論    安辯護士의 辯護  〔二續〕玆에 一辨 問題가 㪅有니 檢事가 被告를 排日的一派라 云나 窃惟컨 被告 愛國的熱誠이 極度에 達 結果로 其跡이 排日에 近이오 决코 天性에 固有 排外的思想은아니로 信노라 假令被告를 眞正 排日泒라지라도 裁判長은 自反而思之라 盖人이 無端히 我를 排斥 理由 必無리니 如此 境遇에 壓迫的手段을 使用것보다 德義로 人을 感服케것이 何如뇨 此等私憾情을 因야 法律을 低昻코져은 絶對的不可지라 若使先進國人民으로 易地處之라도 公憤攸激에 此等行爲가 必無키 難保라 裁判長曰政治論은 不可라즉 安弁護士曰然則法律適用에 就야 暫時辯論다고 今此檢事 被告가 朴元文에 對야 故殺의 罪로 刑法大全第四百七拾七條에 李容九에 對야 謀殺未遂從犯의 罪로 同第四百七拾三條、同第八拾六條、同第百三十五條、에 李完用에 對야 謀殺未遂의 罪로 同第四百七十三條、同第八拾六條、에 該當니 一  罪以上이 俱發지라 其重 者를 從야 死刑에 處고 論告나 本弁護人은 被告가 朴元文에 對야 何等의 刑法上責任이 無다 斷言노라 何者오면 凡意思 犯罪成立의 精神的要素라 被告의 當時現塲의 精神狀態를 想像컨 其精神이 李完用一箇人을 狙擊 在이오 其他辨別이 全然缺乏은 明若觀火라 此際에 李完用의 車夫朴元文이 阻止즉 被告가 其意外障碍됨을 防禦코져 朴元文이 邂逅히 至傷致命 者오 决코 殺意 毫無지라 然則犯罪成立의 意思中第一要件되 辨別이 旣無면 自由도 亦無니 捨此取彼 自由가 豈有리오 故로 此를 罪로 認야 刑을 科치야니은 刑法上의 一般採用 大原則이니 被告가 如斯히 其故殺의 意思가 無얏슨즉 犯罪를 搆成치못은 勿論이오 李容九에 對 謀殺의 意思 旣已停止 証據가 明確즉 意思停止에 對야 何等의 責任이 有리오 此 不足多辨이라 李完用에 對 行爲 該當 正條가 無다고 敢히 謂치못나 檢事의 請求와 如히 刑法大全第四百七十二條同第、八十六條、를 適用것은 大히 誤謬인즉 本弁護人은 刑法大全第五百七條가 適用上에 近似다지라 然이나 要컨 本件의 內容이 以上陳述과 如 者인즉 此에 對야 重刑을 科은 仁人君子의 不忍라 玆에 裁判官諸公의 憾情에 訴야 文明의 判决을 謹俟바 無罪의 判决은 敢히 望치못나 其情狀을 酌量야 充分히 减七等宣告야 世界의 模範的公判이되게기를 懇願이로라        〔未完〕,사회; 기사,1178
宮廷錄事,官報十月十九日●(宮廷錄事)秘書院丞李範贊書奏臣於陰曆九月十四日丑時量敬奉聖諭更爲傳諭于議政府議政尹容善所住處則以爲臣六日方命罪積邱山六諭敦召恩同天地獄供則曲賜開釋質之以神明朝象則深憂潰裂勉之以善後郊居則殊慮捿屑紆之以聖念皆非無狀賤臣所可承當而況又東寢終裸以有事爲榮何敢不參而臣之姓名旣在獄案獄事究竟杳無期限則斷獄之前雖經歲年惟是臣待命竢勘之日也情踪則今日如昨日附對則後奏卽前奏日月之明庶垂矜燭猶且敦迫轉益皇蹙左忖右度有死而已席藁待誅而已第伏念幸行隔宵從邁邇臣之來守陋地有關國體伏願卽賜召還焉云矣臣旣承期於偕來之命故姑爲仍留之意敢奏答曰知道 十月十八日詔曰朕之諭卿迄可休矣而卿則一向堅執杳無已時是豈朕平日所望於卿者哉國勢之岌嶪朝象之潰裂前述已備以卿之德之望不思所以拯溺救焚而必欲效匹夫之諒焉則是先私而後公得小而遺大也豈卿之本意也哉今番獄案固當審辦而至於卿一人當初橫誣非徒朕所洞悉抑亦擧世之所共知也此不待斷獄而旣已昭晣無餘朕之質斷至此廷紳孰敢有妄言以卿洪量復有何可引之義而尙此撕捱有若有罪待勘者然是卿乃負朕也萬萬乖當還覺慨咄見今幸行旣退一日朕則必欲致卿於樽俎折衝之地卿須軆諒萬勿遲誤事遣內部協辦李載崑傳諭于議政仍與偕來 十月十八日明日出宮正時寅正三刻 十月十九日,기사; 정치,530
載寧民望,本社通信員의 報道를 據則載寧郡人民은 年來貪虐官政之餘에 民邑이 俱獘얏 加以多年空官에 官屬의 作獘로 民間殿屎가 達於極項이더니 何幸寒後陽春으로 信川郡守李容弼氏가 移任該郡 載寧人民이 胥欣胥告야 該倅到任을 晝宵苦待것슨 無他라 該倅가 在信川四年에 治蹟이 茂著을 一道가 通知바라一은 自昔流傅之惡俗을 除야 聽訟時나 來往時에 官尊民卑 法을 改야 民情을 得伸케고 二 愛人如己之政으로 貧弱之民을 特護며 挾勢亂類를 嚴禁야 公義處判이오 三은 妓女와 倡女을 疎遠야 不置近境으로 民之花毒을 不染케이오 四 日露戰役時에 外交을 한熟히야 無法 工役困難을 民處에 不當케이오 五 境內에 殺越이나 或有大事야 親往之時에 下人一名을 帶去야 凡百事에 民獘을 絶無케이오 六온 遠近間에 頑民이 有야 設或罹罪으로 捉致審判之境이라도 所謂差使例를 嚴禁야 民瘼을 除이라 今其赴任之前에 些少 封窓紙지라도 買送야 邑中財物을 一分이라도 不用고 自己之財로 用다으로 民情의 渴望이 如是 本月二日에 到任얏다더라,기사; 사회,519
度量衡規則(前号續),別  報    度量衡規則      （前号續)◎第六條  布帛을 度 時에 從來慣用든 布帛尺을 並用되 其長은一尺六寸으로니 名稱命位 左갓치 定 事○分  布帛尺一百分之一○寸  布帛尺十分之一○布帛尺一尺六寸○丈  十布帛尺○第七條米突法度量衡은 左開比較를 依야適當 法으로 事○第八條  度量衡器의 種類形狀物質定限은 左갓치定 事○第九條  度量衡噐의 公差 左갓치 定 事○第十條  度量衡의 原噐 平式院總裁가 保管 事○第十一條  度量衡器 平式院製造所에셔 製造고 一切私造 不許事○第二十條  度量衡器에 其製作年号及番号를 並列表記고 證印을 附되 證印을 附기 難 者에證書를 附 事○第十三條  度量衡器를 修理코져 者 左開事項를詳記야 平式院總裁에게 請願야其特許를 得 事○第十四條  平式院總裁가 度量衡噐修理를 特許 時 左에 特許稅를 徵收고 其特許証을 繕給 事  度器修理特許稅金五十元  量器修理特許稅金五十元衝器修理特許稅金八十元○第十五條  度量衡器修理特許의 年限은 十五個年으로 事○第十六條  修理特許者 規定 修理原器▣備야完全히 保管 事○第十七條  修理特許者 帳簿를 設야 修理 度量衡噐의 年号番号及種類形狀物質個數及其他必要의 事項을 記入고 每年三月末日에 統計書를 調製야 平式院總裁에게 申呈 事○第十八條修理特許者가 其營業을 廢止 時 平式院總裁에게 報告야 其特許証을 還納 事○第十九條  度量衡器의 定期檢定은 實施後每五個年에行 事○第二十條  檢定稅 其噐의 極大表量에 凖야 每一個에 左開金額을 徵收고 修理 度量衡器의檢定稅 其半額으로 事○第二十一條  修理或度量衡法의 適當 法度量衡噐를 使用랴 者 檢定을受 事○第二十二條  檢定所에 度量衡器를 提呈키 難 時 其事由及度量衡噐의 種類個數를 詳記야 其所在地에셔 檢定을 受기를 請願을 得되 但檢定員의 旅費日費及其他檢定에 要 費用은 自擔 事                    （未完),기사; 사회,949
事變後淸國觀,●事變後淸國觀  東京早稻田大學政治經濟科講義錄尹泰懋譯  (一)  無前事變今回淸國皇帝의崩御와前後相隨야西太后가崩殂은頗히重大事件이라云지라然而皇嗣問題도早遠决定되고皇位繼承에擾亂을惹起치아니얏스니可히慶賀不已지라本問題를如斯히迅速觧决은故西太后의意가重大問題로認을由은勿論고一方으로當局者가其平日의私的感情과欲望을離고同心協力야大局을維持에勞力結果리지라然則淸國前途何等憂慮가無쥴노思想지나由來爭鬪擠排가不絶으로有名北京政界의內狀을詳察면아직樂觀的狀態을不得얏다지라今日平穩이  (二)  他日大騷亂을誘起지니今回淸帝崩御後에幼帝를擁立고醇親王을攝政케一泒實노得意얏스나其反對泒의失意됨은言을不俟지로다去十六日에慶親王恭親王及肅親王等諸親王이皇族會議를開고攝政王의權力이過大이國家에慶事가아니니皇太后에請야垂簾聽政케사其權力을制限기로决議얏다니個中消息은此를徵야도明白히揣摩지라要之컨目下先帝時代의大官均勢가破裂고新帝時代의大官均勢가未定얏스니何流든지權力의中心點을求야對抗의勢力을扶植에岌岌얏도다吾人은  (三)  淸國政界의黨派에就야一言지니抑淸國政界에從來張之洞袁世凱及中立派의三泒가有야此에屬者를區別면大約如左니張泒  ｛醇親王、鹿傅霖、趙爾巽、鉄良榮慶、林紹年、升允、李興銳曹廷烝袁派  ｛慶親王、那桐、楊十駿、張仁駿世│瀆、徐世昌、陳夔龍、松壽唐紹儀中立泒  ｛肅親王、端方、岑春煊、孫家鼐即張之洞은元來進士及第로翰林院編輯으로登用되야一躍야泗川學政、山西巡撫等을歷任고爾來三十餘年間北京朝政에信任을受야十年前에李鴻章制坤  과치支那三傑의一노傳名된지라李列二人이逝後獨히殘存야君國에奉心이一日도不止야目下七拾餘歲의老齡을不拘고每日晝夜十六時間의政務를現執으로朝野의德望이愈益加大야今回事變에際야中央政界에重大責을任도必定될지며又哀世凱故李鴻章의衣鈢을承고故西太后의信賴가厚야日淸戰役以來로支那第一流의政治家로其名望이內外에高야朝野의人望을一身에集合야新進人物에扶植勢力이極大則淸國에將來最有望政治家를求면勿論袁氏라지라                （未完）,기사; 사회,967
儒生獻議,●儒生獻議  宋秉畯氏事件에對야十二道儒生金東弻氏等二十六人이中樞院에獻議全文이如左더라敬啓者嗚呼라亘古亂賊之無君이豈有如今日賊臣秉畯之元惡大憗者乎잇가頃者我皇帝陛下게셔西南巡狩신事信我東方에曠世之晟典이라爲我臣民者歡天喜地에孰不鵲躍鰲抃가竊謂地方墨綬之行政은從今日新이오며潢池赤子之誤觧은於斯氷釋을지라大東의中興을佇見이고詞臣의獻頌을已期이더니嗟我文明半島之域에不幸一種戾氣가闖生賊畯야名添責任內閣이고分猥陪從玉輅이온즉渠以孤雛腐鼠의質로鳳詔의煥發심을雖不敢對揚宣布이오나一半分人心이苟有오면涓埃의萬一을圖報이거날此를不爲고狼心은酒를藉야鼔發며豕膓은│를藐야無視으로莫嚴신輦轂咫尺에拔釼揮鬪며狂叫胡唱야語涉至尊에放恣跳跟을罔有紀極이온바當日躬蹈侍從武官은不斬賊쥰之頭얏스니倘無武備而然이온지在傍目擊司法大臣도尙饒賊쥰之命얏스니怕其勢焰而然인지興言及此에令人髮竪膽掉라閭巷睡罵之口式日喧聒고報舘聲討之舉은誅鉞森嚴이거늘何况貴院은職在樞密와言責을是任인猶未聞建議內閣야以正三尺인즉豈不呼天而痛哭者呼잇가支那制禮에日下公門式路馬라니是가門與馬로以이리오敬君의意에出이며日本憲法에云天皇은神聖이라니是天皇의身軆及名譽을尊嚴을謂인즉尊君의意에出이어날噫彼賊畯이罔念禮法의攸重고玉車破窓에驚動天聽즉敬君之義蔑矣오御側揮刀에擬刺侍臣즉尊君之倫矣라若此滅法斁倫之賊은覆載之間에이斁不可使時日容息이거날現在肆然에脫綱而葦海얏스나天下에無君之國이豈有리오仰惟自作을難逭에此賦의伏法이非朝伊夕이오니伏願準此建議內閣오셔天陛에上奏시고支那에聲明오셔賊쥰을不日引渡케시와亟正邦憲시고俾雪人神之憤이라얏더라,사회; 기사,742
昨日萬民共同會에셔動議하고上疏하였는데疏本을記左하노라,别報◎昨日萬民共同會에  셔 動議고 上疏  엿 疏本을 記左  노라云云伏以臣等의 所遭匿名書錄은 實是爲人臣者ㅣ所不忍聞不忍言之事이오니 此誣를 未辨이면 死且爲罪鬼이올지라 是以로 披心瀝血와 仰瀆崇嚴와 以求與誣陷者裁判而  淵鑑孔昭샤 無幽不燭샤 旣知書錄之出於不逞시며 又信臣等之斷無是理셔 至於下詔警廳시와 使之詗捉不逞之徒시니 臣等於此에 感入骨髓와 不覺喜極而繼之以涕泗也로소이다 矧復所獻之議를  許其實施시고 民所不願之人을 令其退去시고 被逮十七臣을 勘從輕典시니 此誠民之所好를 好之시며 民之所惡를 惡之샤 如傷若保之聖德이 可質神明이오니 雖堯舜之聖과 湯文之仁도 必不能過於是라 有  君如此시니 寧不感幸이오릿가 理宜刻卽退伏와 以沐至渥이오나 斬草而不除根則良田을 難治오 理病而不補元則邪氣가 易乘이니 臣等膚淺之見이 窃有深根補元之術와 以資詢蕘오니 伏乞聖明은 少垂察焉소셔  陛下雖知誣陷之書ㅣ出於不逞之徒샤 使警廳詗捕시오나 實不知趙秉式閔種默兪箕煥李基東金禎根五人이 即是不逞而捕不待詗이오니 臣等이 請證之리이다 以趙秉式言之컨 素以奸毒으로 肆行貪饕야 蠧國病民은 一世之所共知어 老益無厭야 復圖秉軸에 自知平日積惡이 爲公議所不蓉야 慘肚凶腸이 乃生陷害忠良之計야 誣告  君父야 至降  特詔오니 此卽不逞之一也오 以閔種默言之컨 本以趙秉式之心腹으로 綢繆謀議야 眩惑聖聰야 旣得外部之任야 圖害內民야 外舘照會가 旣有草本고 躬往說明타가 反受譏侮니 是其設心慘毒이 有甚於前日賣島之凶計라 此是不逞之一也오 以兪箕煥言之컨 鍊兵養卒은 所以內護外禦而乃以保護之資로 看作戕殺之柄야 密嘱隊伍야 威脅衆民오니 此卽不逞之一也오 以李基東言之컨 本以奸細로 因綠宵小야 深嚴之地에 無難出入야 害民蠧政이 萬目難掩이오며 其在裁判에 請兵環繞야 砲矛旗角이 便成陣勢니 是乃施威壓制야 勒服陷殺之計라 內損國體고 外招鄰譏오니 此卽不逞之一也오 以金禎根言之컨 職在警察야 責兼保護則誣罪壓良이 在所深戒어 乃以無稽之書로 輪示囚人야 欲作他日取供之根據니 其包藏禍心이 瞭如觀火라 此卽不逞之一也로소이다 彼五凶者의 設心做計가 欲害陛下之赤子야 以危陛下之    宗社이온지라 盖此無稽之書가 旣出於不逞之徒則不逞之甚이 豈有過於此五凶者乎잇가 今乃外補疏免야 順且無事오니 此 萬民之所切齒而衆心之所不服이온지라 伏乞陛下 以此五凶으로 付之司敗시와 與臣等으로 對頭裁判야 使惡草去而良由治焉소셔 至若臣等向日所獻六條 旣爲衆民所願廷臣所可而陛下又採之샤 令政府次第實施시니 臣等이 固當退俟之不暇이오나 竊伏念更張以來良法美制와 伏念  仁詔恩勅이 足以充棟이오니 雖堯典禹謨라도 無以過之라 然나 民生之困瘁如舊고 政紀之叢脞如舊고 工商之不興이 如舊고 任官之不公과 交涉之未孚如舊와 徒有實施之名而尙無實施之蹟와 因循恬嬉에 曠費歲月오니 此何以異於良藥在笥而刀圭不試者哉잇가 乞以六條로 定爲全國法律야 其事關各府部及地方者嚴飭當該官야 今日卽施明日卽行고 其事關外國者 聲明知照於各公舘야 行之信如四時고 守之堅如金石시와 使全國人民으로 知所確信케소셔 且伏念一日萬幾에 無曠庶官이오니 庶官得人이 專在於進賢退不肖라 伏願陛下淵然深省샤 繼自今日로 凡政府大官進用之際에 必以國人皆曰可者로諮詢而置諸位焉시오면 何患乎內政之不立而外交之不孚乎잇가 仍伏念合民力而立權者 人君也라 民心이 合則國權이 堅固고 民心이 分則國權이 微弱은 理之常也니 當初協會之設은 所以合民心尊國權而或討論學問야 以佐政治고 或推究商務야 以殖民業이라 夫如是則國權固而外侮無自入矣리니 協會之有關於國權이 如是綦重이거 會規議定之詔旣降於昨日시고 各會革罷之勅이 又頒於今日샤 表準이 不立야 民情이 胥疑오니 王者金石之典이 恐不當如是也오며 革罷之詔 固知非斷自聖衷而亶由於五凶之壅蔽也로소니 協會罷則民心이 分矣오 民心이 分則國權이 弱矣오 國權이 弱則外侮至而我陛下平行五洲同等萬國之權이 其果可以確立乎잇가 臣等이 當此艱虞之會와 自有漆婦之憂일 玆敢不避猥越고 齊聲仰籲오니 伏乞陛下審覈五凶시며 實施六條시며 愼於用人시며 察於協會샤 以幸  宗社시고 以慰民心焉소셔 臣等이 過計로 又竊有尾陳者노이다 凡與外國關係事件은 其權이 在於外部而今於趙秉式閔種默執權之際에 乃以外部印章으로 夜入政府엿오니 此二凶은 素以賣國으로 爲平生伎倆이온즉 實未知何樣危機를 釀成於不知不覺之中이은지라 伏乞聖明은 持將本月四日二凶執政以後에 與外國干涉之各樣文牃을 令政府布示오셔 以解人民之疑惑焉소셔 臣等이 無任激切屛營祈懇之至謹冐昧以  聞,기사; 사회,2133
