dcterms:title,dcterms:abstract,nlon:keyword,length
統監府保安令,●統監府保安令      十三條本月十七日에 統監府에셔 我國에 居留 日本人의 浮雜 者를 團束기 爲야 該府令第十號로 保安規則을 頒布얏 全文이 如左니    保安規則第一條  理事官은 一定 住居或生  業을 不有고 平常疎暴 言語行  爲로 爲事 者에 對야 一定  期間內에 住居를 定고 生業에 求  就을 得나니 前項의 命令을 受   者가 住居를 定고 或生業을 求   時 理事官에게 報告 事第二條  辯護士或理事官의 許可를  受 者가아니면 他人의 訴訟事項  의 委托을 受든지 或此에 干與  을 不得 事  辯護士或理事官의 許可를 受 者   猥漫히 訴訟爭議를 勸誘敎唆  을 不得 事第三條  名義의 如何을 不拘고  金品의 募集을거나 或은 團體에  加入을 勸誘코져 時 豫前其  目的方法을 具야 理事官의 許可  를 受 事第四條  暴行强迫又 詐欺에 手段  으로 他人의 業務又 其他行爲를  妨害을 不得 事第五條  暴行强迫又 詐欺에 手段  으로 行爲不行爲와 或財物을 要求  며 又 他人의 進退意見에 干與  을 不得 事第六條  財物을 賣買며 又 勞力  을 需給기에 當야 暴行强迫又   詐欺에 手段으로 其價格을 不當  히 增減을 不得 事第七條  財物貸借又 其他周旋  에 當야 利子手數料와 其他名義  에 何如를 不拘고 不當 高利又   報酬를 要求을 不得 事第八條  債務辦濟를 受기 爲야  暴行强迫又 詐欺에 手段을 用  거나 身體의 自由를 拘束을 不得   事第九條  公職을 得 周旋기 爲  야 金錢其他의 報酬를 受고 又受  의 約束을 不得 事第十條  正當 理由업시 第一條第  一項命令에 違反 者나 第一條第  二項或第三條에 違反 者 三個  月以下의 重禁錮에 處며 或五十  圓以下의 罰金에 處 事第十一條  第二條第七條或第九條  에 違反 者  六個月以下의 重  禁錮에 處며 或百圓以下의 罰金  에 處 事第十二條  第四條第五條第六條或  第八條에 違反 者 一年以下의  重禁錮에 處며 或二百圓以下의  罰金에 處 事第十三條  本則은 明治三十九年五  月一日붓터 施行 事라얏더라,사회; 기사,1057
地方情形,▲陽城郡德味에 潛伏 義兵의 魁首安生寅이가 龍仁郡屈岩에 在 義兵二百八拾餘名과 竹山郡俠谷里에 在 義兵五拾餘名과 同郡山田에 在 義兵十五名과 陰竹郡亭子동에 在 義兵三拾餘名을 集合얏다고▲高陽郡에셔 義兵五十名이 去十四日에 電柱運搬夫日人二名과 韓人三名을 捕縳고 電柱幾本을 絶倒으로 電信을 不通이라고▲瓮津郡附近에 義兵이 出沒야 益益猖獗으로 各方面에 交通은 全여 不通이라하고▲去六日康翎郡에 義兵拾餘名이 侵入야 分派所 襲擊즉 巡檢巡査 逃走엿 同郡守 脅迫야 軍器를 强請携帶고 南方으로 出向하얏다고▲順川郡에 侵入 義兵의 魁首劉義庵鄭觀珠金喝代等이 五百名以上을 率엿대 擧皆同郡儒生이라고▲去八日靑松郡縣南面討巖洞에 義兵一百五六十名이 日兵과 交戰하엿대 兩陣死傷은 未詳이라하고▲十日曉頭에 銃器를 携帶 義兵十九名이 漢江下流通津郡祖江浦에 上陸야 松致洞에셔 朝飯를 催食다 報를 接고 江華島에 駐在던 日兵二名과 巡査巡檢이 急行追蹤대 羲兵은 祖江巨里에 侵入야 車石凡의 獵銃及火藥을 收取고 白石峴으로 向얏다고▲拾五日발全州電을 據則十四日全州西北方三拾里에 義兵約八拾名이 來습야 居留日本人에 家屋을 燒却다 急報를 接고 日守備隊에셔 騎兵將校以下三拾名과 憲兵下土以下六名과 警視警部十三名과 巡檢四名은 同地로 急派허얏다허고▲再昨日楊州議政府中間高陽通路에 義兵壹百五六拾名이 集合을 探知고 楊州分派所警官九名을 派送야 議政府駐在憲兵과 連絡허야 約二時間을 交戰얏다더라,사회; 기사,722
樞院獻議,雜報⊙樞院獻議醫學校敎官張燾前主事張志淵幼學金祥演氏等이 施政改善에 對한 五十五條를 擧하야 中樞院에 獻議하미 如左하니政治更張에 關한 主要事項一  大韓帝國은 一系의  皇統으로萬世에 無替할 事、二  皇室▣規範을 特定하야  皇位繼承의 順序及格禮▣明確히할 事、三  大皇帝陛下셔난 固有하신 主權으로 萬機를親裁하야 帝國을 統治하실 事▣四帝國의 立法은 由來의  朝憲을 依하야  大皇帝陛下게셔 專裁로 制定하시며 行政及司法에 關하야난 各其相當한 權限을 該當官府에 委任하야行켸하실 事、五  國務大臣은  大皇帝陛下를 輛弼하야 其諸般施政에關한 責任을 負擔할 事、六  議政府난 議政大臣과 各部大臣으로 組織하야 施政百務를 處理하되 國法上責任과 職權上責任의 性質을 從하야 國務大臣의 國法上責任은 連帶로 負擔하고 職權上責任은 各其專擔켸할 事、七國家에 緊重한 關係가 有한 事項은特히 御前會議로 請待하야 裁定할 事、八  摠히 法律勅令及國政에 關한詔勅은 國務大臣이 聯名副署함을 要하며 其他各官府의 行政事項▣關하야난 議政과 該管主務大臣이 副署함을 要하되 以上要件을 經由치아니한者난 其効力이 無할 事、九  司法權限을 特立켸하고 裁判所의 階級制度에 關한 格式과 司法官의 依法公决에關하 擔保를 確立하야 法律의 適用을均平켸하되 裁判官의 自由心證으로擬律宣告를 行하기 以前에난  赦典及减刑을 越施함을 得지못할 事、十死刑의 執行과  赦典及减刑에 關하야 法部大臣이  裁可을 奏請할 事、十一  地方官吏의 裁判權限▣分離하야 各府郡及港市에 裁判所를 特設할 事、十二  法律上의 制限을 設定하야 民刑訴訟을 公開審判하며 濫酷의 刑具로 拷問納供하난 獘▣漸次除廢할 事、十三  受贖의 制度를 全廢하고 處役하난 者에 對하야난 名譽上의 公權을 剝奪或停止켸할 事、十四行政各官廳의 處决에 不服이난 訴訟을 受理審判켸하기 爲하야 京城에 行政裁判所를 特設할 事、十五  全國의 財政은 度支部▣專管켸하야 國庫의 收入을 完實켸하되 正當한▣源을設定하야 諸般徵稅의 法規를 擴張制定하고 各海關의 稅則을 調査釐止할事、十六  地方官吏의 徵稅權限을分離하야 各府部에 稅務官廳▣▣設할 事、十七  旣定한 中央銀行制度를 改正하야 該銀行으로 國庫의 出納事務를 掌理캐할 事、十八  財政上의 檢査官廳을 特設하야 每會計年度에 中央各官府의 會計决筭▣事項을檢査確定할 事、十九  旣定한 貨幣條例을 變吏하야 銀貨本位의 制度를採用하고 現行白銅官의 獘害을 急히矯抺하되 其鑄造를 永久廢止하고 本位及補助의 新樣貨幣를 鑄造하야 現存의 白銅貨를 換給하되 度支部의 債券을 制限發行히야 交換上에 幷用캐할 事、二十  商業上에 最緊 利害關係가 有 外國과 交易上에 互相便利을 爲야 貨幣에 關 盟約을 特히 協定 事、廿一  國內의 常備陸軍은 二萬以內로 編制되 精銳이 訓錬야 內國의 防禦를 主고 略干의海軍을 編制야 沿海의 巡察防禦를主되 並히 陸海軍의 徵兵令을 漸次施用 事、廿二  元帥府官制을 改定야 略干의 司令部을▣鄕要地에設置야 軍部大臣의 監督을 受켸事、卄三  警察及憲兵制法를 擴張야 地方에 設行캐고 高等警察事項에 關야난 議政과 內部大臣의 指揮命令을 受캐 事、廿四  京鄕各地方의 監獄制度을 急速히 改良야刑罰의 執行을 完全캐며 囚徒의 衞生▣保維캐고 其各署內에 工塲을設置야 已决囚의 服役에 供 事、卄五  敎育上의 階級制度를 適當히排定야 兒童의 年齡이 七歲에 滿者 男女를 勿拘고 法律上의 强制로 小學校에 就學켸며 普通及專門學校 修學의 程度을 從야 自由就學케되 現在의 外國語學校를 全廢고▣區域에 並히 普通學校를 仍設야 各種의 學術▣獎勵며 緊要外國語學科 該校內에 附設兼修케 事、卄六  普通의 學術及聦明才質이 有 者를 試選야 歐美各邦及日本國으로 每年에 定數派遣아 各專門學業을 修켸고 壯年有爲의 人을 公擧야 開明各邦의 政治及學業上槪况을 視察케기로 叧派 規式을 設定 事  卄七  內國外邦의各種學校及官聽에셔 專門及普通學術을 卒業 證書나 實習 證明이 有 者 其履歷書를 政府로 修呈 後에 各其相當 官府로 一並需用켸야 就學者의 希望과 勤勉의 心力▣確固켸 事、廿八  各▣廳의 現帶奏判任官吏中에 年齡과 才質이 適合者 該職務上에 應用 速成學科를設定야 隨暇隷業켸▣事、卄九官吏登用法을 改正야 奏判任官更 各專門學業과 普通學術▣卒業者中에셔 試用되 勅任官은 此限에無碍 事、卅  農工商等實▣을 獎勵發達켸기 爲야▣庫의 補助及官府의 勸誘等諸般▣項을 施設務行 事▣卅一  國內▣鉄道敷設及鑛山採堀의 山林의 採伐及沿海의 漁業航海等諸般產業上에 關야 外國人에게 已許 者 妥當히 返還 方道를 講며 其他現在의 產業▣項으 專一히 內國人의 事業으로 企圖야 眞實▣期▣켸기를 設法賛助 事、卅二  通信事▣을 擴張야 海陸의交通連輸等諸般機關▣完備켸되各部의 一例로 通信部을 設置고 主務大臣으로 該項事務를 統轄켸 事、卅三  觀察▣及郡守 府郡의 敎育과 衞生及勸業等普通行政에 關職務만 行고 裁▣及徵稅의 權限에干預지못되 各府郡에 鄕民의 集議 機關을 法律로 制定야 民志의 趣向을 一致게며 地方의 基礎를 鞏固▣ 事、卅四各地方의 諸般制度를均一게기 爲야 各府郡의 土▣區域을 法律로 制定야 均適히 廢置分合 事、卅五  政治上에 關▣重大事項은 韓日間協定條約의 趣意를 依야 措置되 該協約의 効力에 關期限及其他의▣悉條欵을 擧야 協定追加 事、卅六  本邦▣駐箚난 外國의 使節及其他官吏와 紳士及豪商에게  陛見을 許施난 規式을嚴格히 符定▣事、卅七外▣人은 外交上의 名譽官職以外에 一切任官을 得치못며 諸般政治上에 關야各其被雇 事務에 關야난 贊佐의職責을 行지라도 施政上에 侵越干涉을 得치못 事、卅八更張事項의 必要에 應야▣間及敎師技帥等으로 外國人을 雇傭▣時▣互相間에便益되난 關係를 爲야 日本國人士를 多▣聘用 事、卅九外國人을 雇傭 境遇에▣俸額으 我政府官吏의高▣俸給과 比較上▣超過치못▣數額을 一定고▣節圍以內▣每常合約上에 適用되 木位貨幣로 支給事、四十大韓臣民은 法律及命令으로 定 資格▣應야 族籍階級을不拘고 一軆로 文武官에 被任며其他의 諸般公務에 就任을 得 事、四十一  大韓臣民은 法律에 由치아니면 逮捕監禁及審問處罰을 受하거나 所有財產의 權利를 侵害됨이無 事、四十二  大韓臣民은 法律에 定 要件을 遵야 言論著作及集會結社와 信敎의 自由를 享有 事▣四十三  大韓臣民은 法律에 定 要件을 從야 納稅及兵役의 義務를 負擔 事、四十四  國是를 礎守며 輿論을 一致켸기로 中樞院官制를 改正組織야 政府의 施政事項을 審査討▣며 國民一般의 獻議事項을 採▣켸되 該議員은 院內에셔自由言論을 特認 事、四十五公直의 聲望과 時務의 學識이 具有者 救時情况에 應야 門地를 不抅며▣階을 不踐고 拔擢登用켸▣事、四十六  現行 法律規則과其他諸般法規▣調査改正야 完全 法與을 編纂켸되 刑律과 民刑訴訟及裁判所의 搆成에 關 法律▣迅速히 改正實施 事、四十七  宮廷을 盡▣켸▣▣爲야 嚴正▣條規▣特設 事、四十八  宣▣宮女▣規制를 變▣야 减▣方法을 斷行▣事、四十九  祭▣慶▣의 虛張儀氏과遜辭持面의 煩▣文具를 一切除却켸 事、五十  閒衙冗官을 一幷革廢야 官府의 配置 精實鞏固▣하되宮內府의 所屬各院中에 不得已仍存 者 局이나 司或課의 制氏▣變吏야 總히  宮內大臣의 指揮監督을受케하며 特히 警衛院을 廢止고皇宮警衞에 關 事項은 警務廳으로設行케▣事、五十一  國務大臣이主管 各府部에 對야 法律及性質上으로 相等 權限을 特定 官府以外에 平行交涉이 無케 事、五十二  過期 未納公錢은 多小를不計고 一  一히 杳櫛督刷되 免▣及處刑等方法으로 玩愒의 悖習을 一並痛懲 事、五十三各項의 犯逋官吏中巨欵에 居 者를 並히 隨捉야邦刑을 定고 其犯逋金額과 較計야▣犯等의 所有財產을 酌量沒收事、五十四應納正供을 多年乾沒者 一  一杳覈며 貪饕의 著名 官吏를 並▣隨捉야 邦刑을 止고 該犯等의 所有財產을 酌▣沒牧▣事、五十五  官民의 衣服制度를 便宜히改良되 文官의 正服規式을 實施야 文武의 服裝을 精  켸고 國民一般에 關 規制▣漸次로▣便改良事,기사; 사회,3872
A MILITARY EXACTOR,"A MILITARY EXACTOR.There is living at Kong Ju a man named Kwan who possesses more of this Worlds goods, than in the estimation of one of the Army officers stationed there, he aught to possess. The saitl officer therefor set about endeavouring to extract some of the surplus from MR. Kwan, by sending two of the soldiers, to accuse him of concealing firearms and other weapons, in his house. In order to get rid of them Mr. Kwan paid them one hundred and forty dollars. And then reported the maiter to the Magistrate, who told the officer that if he wanted to take charge of things, he (the magistrate) would leave. Mr Kwan is coming up to Seoul to report the matter to the War Department. If Mr. Kwan took our advice he would remain where he is and be content with only having lost the $140!",기사; 정치,791
虎列刺預防注意,"●虎列刺預防注意警視廳檢疫部에셔 各坊曲人民에게 頒給 虎列刺預防注意라  全文을 玆에 揭載노니一, 虎列刺 劇烈 急性傳染病이라 虎列刺菌이라 稱 病毒의 感染을 因야 發니 此虎列刺菌은 患者의 排泄 糞便中과 嘔吐 物中에 有니 如斯히 吐瀉物과 共히 排泄 病毒은 他人에게 直接으로 感染거나 或 各種 器物에 附着야 傳染지라 譬컨 患者의 吐瀉物에 接觸 手指 嘗던지 或 其手로 飮食器物을 管理면 自此로 病毒이 口腔胃腸에 達며 又或 病人의 吐瀉物에 汚穢 衣服을 洗濯면 其洗濯汚水 地中에 滲入야 井水에 混야 廣히 傳播 事ㅣ 有 故로 病人의 糞便은 肉眼의 見치 아니 微量이라도 오즉 病毒을 傳染으로 甚히 危險니라二, 虎列刺가 流行 時에 規則이 正히 生活케 니 胃腸의 障害 虎列刺의 感染을 助勢지라 故로 過飮過食을 謹愼고 消化키 難 食物을 避고 下瀉 促거 胃腸을 害 거슨 特히 注意야 避지며 若或 下瀉 時 卽時 醫師의 診療를 請지니라三, 食物은 熟煑치 아닌 者 食치 말며 飯麵 等에 水를 注加야 食은 最히 有害고 且無時食飮을 廢지니라 菜蔬實果 総히 煑食며 特히 腐敗 덧 實果은 下泄을 發 虞慮가 有 즉 食치 말지니라四, 水道及不潔 處에 汚染 疑가 有 水 洗濯거 或 不潔物 等을 洗이 不可니라城內大川의 水 病毒汚染 疑가 有 즉 妄히 川中에셔 手足을 濯거 衣器를 洗이 不可니라五, 飮料水 반다시 煑沸 者를 用 거시오 使用水도 亦然니 何故오 病毒이 水中에 存在 즉 此로 盥喇거 食器를 洗고 食物을 盛히거 或 洗濯及拭淨에 供면 病毒이 直接間接으로 身軆에 觸며 口로 轉入 故이니라六, 蠅은 病毒傳染 媒介者이라 其發生을 防코자 야 塵埃掃除에 注意며 溝渠 時時로 浚渫야 水의 留滯이 無케 注意지오 旣已發生 蠅은 有力 撲滅法을 講究고 且食器及飮食物에 聚集을 防 設備를 裝지니 譬컨 鐵紗戶卓子 或 鐵紗食盖 等을 造과 如니라七, 圊廁의 注意 最히 緊要니 妄히 路傍溝渠 等에 糞便을 排出은 病毒을 撒布과 無異 故로 古來의 惡習을 乘고 遠井處에 不滲 器를 埋寘고 糞便을 排出지오 圊廁에 消毒劑 投고 頻數히 除滌야 淸潔케 며 恒常 盖 覆지오 且自來로 行 바 屋外에 開放流出케  便所 危險이 殆甚 즉 此時 此 改造지며 若或 改造가 不能 處 糞便을 排出 時마다 消毒劑로 消毒든지 又或 多量의 木炭末을 撒寘지니라八, 腹部 寒冷치 안이케 지니 腹部가 冷면 下泄키 易 故이오 又夜間에 窓戶 開放거 室外에셔 寢睡이 不可니라九, 虎列刺病人이 生 時 迅速히 傳染病院에 入 方法을 取지라 此ㅣ 病人에 滿足 看護及治療를 施지오 又其家屬及其他人에게 病毒傳染 危險을 預防이니라十, 虎列刺病人及其家宅에 不可近이며 尤其病室內에셔 決코 飮食喫煙이 不可니라十一, 虎列刺病人의 吐瀉物과 病毒汚染 物品은 病毒을 傳播 虞慮가 有 즉 適當 方法으로 消毒고 決코 井水邊에셔 洗滌거 川流에 拋棄이 不可니다十二, 虎列刺病人及死者의 衣服器具 煕督官衙의 指揮 承야 消毒호 任意로 使用거 他人을 給與거 他處에 運搬치 못나니라十三, 要컨 虎列刺 軆外에 在 病毒이 侵入야 外敵이 來寇과 如니 吾人의 身軆 康健게 야 外敵을 防 方針을 講究면 畏怕바ㅣ 無지라 身軆 康健게 진 養生法에 兼야 養神 方法을 硏究이 될지라",기사; 사회,1724
新法律,"新法律○法律第二十五號特許法 (續)第七十八條 參加코져  者 參加請求書 審判長의게 提出이 可 審判長이 前項請求書 受理 時 此 當事者의게 送達이 可當事者 參加에 對야 指定期間內에 異議 提申을 得 參加의 許否 決定으로 此 審判第七十九條 審判은 別般規定이 有 境遇 除 外 審決로 此 終結審決에 理由 付이 可第八十條 第三十八條의 規定을 依 審判에 補償金額에 對야도 亦是審決이 可第八十一條 審判의 審決, 權利確認의 査定이나 又 再審査의 査定을 對야 不服이 有 者 審決이나 又 査定의 送達을 受 日노붓터 六十日以內에 抗告審判을 請求을 得 但 前條의 審決을 依 補償金額에 對야 此限에 不在第八十二條 第七十條 乃至 第七十九條의 規定은 抗告審判에 此 準用 但 審判官 三人 又 五人의 合議 依審判에 干與 審判官은 同一事件에 關 抗告審判에 干與을 不得第八十三條 抗告審判에 其事件에 對야 審決을 行이 可再審査의 査定을 對 抗告審判에 單히 其査定을 破毀야 更히 審査에 付이 可다 審決을 行을 得 其破毀基本으로 삼은 理由 其事件에 對야 審査官을 羈束發明牴觸의 査定을 對 抗告審判에 對야 其牴觸이 無으로 認 時 請願에 對야 特許 又 許可이 可 事도 倂히 審決第八十四條 第六十七條及第六十八條의 規定은 審判及抗告審判에 此 準用第八十五條 抗告審判의 審決을 對야 不服이 有 者 其審判이 法令에 違反됨을 理由로  境遇에만 限야 審決의 送達을 受 日노붓터 六十日以內에 大審院으로 出訴을 得 但 再審査의 査定을 對 審決에 關야 此限에 不在前項의 出訴及裁判의 對야 民事訴訟의 上告及其裁判에 關 規定을 準用大審院의 判決에셔 審決破毀의 基本으로 삼은 理由 其事件에 關야 特許局을 羈束第八十六條 本法을 依 補償金額에 對야 不服이 有 者 補償金額의 通知나 又 審決의 送達을 受 日노붓터 六十日以內에 通常裁判所에 出訴을 得第八十七條 特許의 効力 又 特許權의 範圍에 關 確定審決이나 又 判決의 登錄이 有 時 何人이라도 同一事實及同一證據를 基因야 同一審判을 請求을 不得第八十八條 民事又刑事訴訟에 對야 特許權의 効力 又 範圍에 關야 査定, 審決 又 判決을 待 必要가 有 境遇에 裁判所 其訴訟手續을 中止을 得第八十九條 審判及抗告審判에 關 費用의 負擔은 本案審決노 此 定審判, 抗告審判及出訴의 費用額은 請求를 依야 特許局長이 此 定 (未完)",정치; 기사,1251
司法,●司法接准平理院裁判長曹淵承報告書內開被告徐玉淳案件由檢事公訴審理則被告陰曆丁酉十一月分被任樂安郡守同年十二月分到任陰曆己亥六月分免官而該郡上納丁酉條一萬四千三百兩戊戊條六千兩雖己出付各差人使之上納莫重  正供愆期末納其事實被告陳供及度支部照會明白被告徐玉淳照大明律公式編制書有違條凡奉制書有所施行而違者律當處笞一百而欽奉上年十一月二十五日  詔勅辭意放送之意로 法部大臣이 上  奏와 奉旨依奏接准平理院裁判長曹潤承報告書內開被告李敏皁案件由檢事公訴審理則被告甲午六月分被任鳳山郡守同年十月間赴任丁酉八月分遞歸而在任時初無該郡公錢中挪犯事該員名下懸錄條二萬六千九百二十兩八錢八分內一萬九百九十兩四錢九分自甲午十月至乙未九月舊例官貺認以新式頒行前應付而入用矣開國五百四年五月二十七日  勅令第一百三號郡守俸給은아즉 從前府尹牧使郡守判官庶尹縣令縣監職에 在 時에 受든 俸給을 支給이라 有此昭載不可責徵一萬五千九百三十兩三錢九分以日兵往來時供億接濟之費東匪猖獗時砲兵放料已爲經用該郡査報及其時書記金秉璇證供確有可據此亦不可責徵然日兵接濟東匪防守時雖是蒼黃之中該經用不爲報明于京部難免其責之事實被告陳供明白被告李敏皁照大明律公式編事應奏不奏條應申上而不申上者律當處笞四上而欽奉上年十一月廿五日  詔勅辭意放送之意로 法部大臣이 上  奏와 奉  旨依奏    以上二月上日接准度支部大臣趙秉稷照會公納愆滯之各該郡守拿致審辦之意訓飭平理院矣現接該院檢事太明軾報告書內開承准部訓令慶尙北道觀察使金稷鉉羅州郡守在任時公錢愆納之案件行將拿致審查而該員現帶  勅任官故玆報告云矣該員係是勅任官故依刑律名例第二十八條야 法部大臣이 上  奏와 奉旨依奏卽接兼任警務使金永準報告書內開再昨年七月獄事中在逃之安駉壽今爲自現于本廳故仍卽拿交云矣綠由로 法部大臣이 上  奏와 奉  旨依奏    以上二月十日,정치; 기사,803
湖南人의 勢力,⊙湖南人의 勢力淸國前雲貴總督 魏光燾氏가 故兩江總督 劉坤一氏의 後를 襲하얏슴은 已報하얏거니와 上海通信을 據 則 魏氏 淸國官吏中에 令名이 有하나 外交及內治에 關하야 特別 手段이 有을 不聞하고 但湖南人의 現任地方官中에 最히 有力 者라 劉坤一氏가 卒逝後에 湖南人이 百黨勢力을 維持하이 爲하야 北京朝廷에 運動하야 魏氏를 推하고 張之洞氏를 排하얏스나 其地位及內外의 名聲威望으로 觀하면 劉氏의 後를 襲 者ㅣ 當然히 張氏로 此를 排하고 魏氏가 其後에 襲으 湖南人의 勢力이 旺盛을 知지라 光緖初年과 現今의 湖南有力者를 試擧하건 光緖初年에 閩浙總督 左宗棠과 直隷總督曾國藩과 兩江總督 沈葆楨과 陜甘總督楊岳斌과 雲貴總督 劉蠡臣과 四川總督 卞賓第 等이 皆湖南人이오 此外에 彭玉麟이 又有하야 兵部尙書로써 七省의 軍務經營을 任하야 長江水師提督에 在하얏스니 當年 湖南人의 權勢가 旺盛하다 謂지어 現今도 其勢力이 往時를 不讓하야 目下 湖南人으로 尙書 侍郞 總督 巡撫 等 職에 在 者를 擧하건 外務部尙書軍機大臣 瞿鴻機와 吏部尙書管事大臣 張百煕와 光祿寺正卿前任戶部侍郞 曾廣◈과 兩江總督 魏光燾와 廣東巡撫 李興銳와 廣西巡撫王之容과 新疆巡撫潘効蘇와 浙江巡撫聶緝槻와 前任兩廣總督 宮太保 譚鍾麟과 前任刑部侍郞 龍湛霖 等이더라,정치; 기사,623
叙任及辭令,○叙任及辭令  成均舘博士韓用禼仝李洛夏  仝許  柱  依願免本官△李龜修  李秀榮  金商洙  任成均舘博士叙判任官八級    以上二月二十六日依願免本官  警務廳主事李喜轍△免本官  警務廳總巡吳東燦  右該員이 無緣曠仕야하 不勤視務이기 是以免本官    以上三月五日任警務廳総巡叙判任官七級  李鍾國    三月六日金堤郡守趙禮錫  益山郡守閔泳錫龍安郡守扈榮澤  免本官  右 全羅北道觀察使韓鎭昌의 去九月度秋冬等殿最報告書를 據즉 該員等이 治蹟居下이기로 免本官△免本官  延豐郡守許梅  右 該道前觀察使申泰熙와 忠州郡守金在殷에 報告를 接准이온즉 該員이 忠州郡守署理時에 乙巳條結錢를 作佚收俸이 爲二十五萬七千五百七兩이오 該色外尺條가 爲二十三萬七千五百三十六兩一錢九分之多云矣라 似此巨額을 有何營私之計하야 拖過三四朔에 中間掩留하야 趂不來納하니 其在稅式에 晷刻難貸이기 爲先免本官△免本官  珍山郡守金璟中  右 全羅北道觀察使韓鎭昌의 去九年度秋冬等殿最報告書를 據즉 珍山郡守金璟中은 以由暇不宜汗漫爲目하니 宜寘諸下考而寘諸中考이기 免本官△南陽郡守張浩鎭  舒川郡守閔健植  陽城郡守具章會  順天郡守趙鍾緖  德山郡守金澤基  慶尙南道觀察府主事尹錫斗  平安北道觀察府主事崔鍾勛  黃海道觀察府主事金敏鉉  依願免本官△任慶尙南道觀察府主事叙判任官八級  六品鄭民基△全羅南道觀察府主事金邦燮  任平安北道觀察府主事叙判任官七級△任黃海道觀察府主事叙判任官八級  金元植△任全羅南道觀察府主事叙判任八級  九品崔鍾勛    以上三月八日任警務廳主事叙判任官八級  劉世忠△任警務廳総巡叙判任官七級  李普榮    以上三月九日,정치; 기사,745
法律第五號,○法律第五號  國稅徵収法  〔續〕第二十五條  財務官吏의押収財產  에就야第二者가其所有權을主張  야還推을請求코져時賣却  决行五日以前內에所有者된証憑을  具야財務官吏에게申出이可홈第二十六條  滯納者가財產의押収  免기爲야故意로其財產을讓與  時政府其行爲의繳消求  을得홈但讓受人又轉得者가行爲  當時에其情을不知時此限에在  치아니홈第二十七條  押収有價証券、動產、  不動產及第二十四條에依야債務  者로給付受物件은通貨除  外公賣에付홈  公賣에付야도賣収人이無거나  又其價格이豫科價格에達치못  時其豫料價格으로政府에셔買  上홈을得홈  豫料價格三十圜未滿의物件은隨意  契約으로賣却을得홈  債權及所有權以外의財產權에就  야前三項의規定을凖用홈第二十八條  滯納者及財務官吏直  接과間接을不問고賣却物件을買  受을得치못홈第二十九條  滯納處分費財產의押  収、保管、運搬公賣에關費用及通  信費로홈第三十條  物件의賣却代金、押収  通貨及第二十四條에依야債務者  로붓터給付受通貨督促手數  料、滯納處分費及稅金에充고尙  且殘餘가有時此滯納者의게  交付홈  賣却物件이典當權의目的物된時  其代金으로爲先督促手數料、滯  納處分費及稅金을控除고次에其  債務額에充額을債權者에게交付  고尙且殘餘가有時此滯納  者에게交付홈但第二條第二號에揭  典當權의目的된物件에關야  其代金으로爲先督促手數料及滯納  處分費徵고次에其債務額에充  額을債權者에게交付고次에稅  金을控除고尙且殘餘가有時  此滯納者에게交付홈第三十一條  滯納處分을結了며或  은中止時納稅義務及督促手數  料滯納處分費納付의義務消滅홈      第四章  罰則第三十二條  惡意로納稅拒絕  거나又敎唆煽動야納稅拒絕  케者笞刑五十以下에處홈第三十三條  左開境遇에在야其  犯人을二年以下의役刑又禁獄에  處홈  一  滯納者又滯納者의財產을占  有者가其財產을藏匿脫漏며又  虛働의契約을行時  二  押収物件의保管者가其保管에  係物件을藏匿、脫漏、費消或은故  意로毀損時  情을知고前項의所爲幇助며  又虛僞의契約을承諾者各本  刑에一等을减홈第三十四條  本法施行에關細則은  度支部大臣이此定홈      附  則第三十五條  本法은頒布日로붓터施  行홈  光武十年勅令第六十號租稅徵収規  程은本法施行日로붓터廢止,기사; 정치,1123
